gene_name,sample_name,gene_family,drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
dfra14,AMR_TR-DNA-NOVA1-08-pst_S72,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,7.0,79.96,1.94,,10000000,1.17,0.32
dfrf,AMR_TR-DNA-NOVA1-08-pst_S72,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,1,Perfect,99.3939,100.0,Unknown taxonomy (chromosome or plasmid),36.0,100.0,8.35,,10000000,6.01,1.39
emra,AMR_TR-DNA-NOVA1-08-pst_S72,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,4.0,13.98,0.19,,10000000,0.67,0.03
emrk,AMR_TR-DNA-NOVA1-08-pst_S72,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,14.77,0.28,,10000000,0.33,0.05
ered,AMR_TR-DNA-NOVA1-08-pst_S72,macrolide esterase,macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,30.0,76.85,3.31,,10000000,5.01,0.55
ermb,AMR_TR-DNA-NOVA1-08-pst_S72,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,6.0,63.99,1.2,,10000000,1.0,0.2
ermf,AMR_TR-DNA-NOVA1-08-pst_S72,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,1.0,18.73,0.19,,10000000,0.17,0.03
escherichia coli acra,AMR_TR-DNA-NOVA1-08-pst_S72,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,6.0,24.54,0.64,Escherichia coli (chromosome or plasmid): 2; ,10000000,1.0,0.11
klebsiella pneumoniae kpnh,AMR_TR-DNA-NOVA1-08-pst_S72,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem,antibiotic efflux,protein homolog,0,,,,,2.0,11.96,0.19,,10000000,0.33,0.03
mdtb,AMR_TR-DNA-NOVA1-08-pst_S72,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,14.0,20.88,0.48,,10000000,2.34,0.08
mdtc,AMR_TR-DNA-NOVA1-08-pst_S72,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,7.0,18.62,0.18,,10000000,1.17,0.03
mdte,AMR_TR-DNA-NOVA1-08-pst_S72,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,4.0,30.22,0.52,,10000000,0.67,0.09
mdtf,AMR_TR-DNA-NOVA1-08-pst_S72,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,2.0,9.63,0.1,,10000000,0.33,0.02
mdtg,AMR_TR-DNA-NOVA1-08-pst_S72,major facilitator superfamily (MFS) antibiotic efflux pump,fosfomycin,antibiotic efflux,protein homolog,0,,,,,4.0,18.66,0.49,,10000000,0.67,0.08
mdto,AMR_TR-DNA-NOVA1-08-pst_S72,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,6.0,27.44,0.44,Escherichia coli (chromosome): 1; ,10000000,1.0,0.07
mdtp,AMR_TR-DNA-NOVA1-08-pst_S72,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2.0,20.45,0.2,,10000000,0.33,0.03
mef(en2),AMR_TR-DNA-NOVA1-08-pst_S72,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7512,99.25,Unknown taxonomy (chromosome),44.0,100.0,5.19,,10000000,7.35,0.87
mel,AMR_TR-DNA-NOVA1-08-pst_S72,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,2.0,17.0,0.25,,10000000,0.33,0.04
pmrf,AMR_TR-DNA-NOVA1-08-pst_S72,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,4.0,30.96,0.62,Escherichia coli (chromosome or plasmid): 1; ,10000000,0.67,0.1
qacg,AMR_TR-DNA-NOVA1-08-pst_S72,small multidrug resistance (SMR) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Strict,90.7407,51.02,,,,,,10000000,0.0,0.0
qnrs15,AMR_TR-DNA-NOVA1-08-pst_S72,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,protein homolog,0,,,,,2.0,22.83,0.46,,10000000,0.33,0.08
sul2,AMR_TR-DNA-NOVA1-08-pst_S72,sulfonamide resistant sul,sulfonamide antibiotic,antibiotic target replacement,protein homolog,0,,,,,3.0,28.06,0.35,Escherichia coli (chromosome or plasmid): 1; ,10000000,0.5,0.06
tem-219,AMR_TR-DNA-NOVA1-08-pst_S72,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation,protein homolog,0,,,,,2.0,11.5,0.23,,10000000,0.33,0.04
tet(32),AMR_TR-DNA-NOVA1-08-pst_S72,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,71.4062,98.60499999999999,Unknown taxonomy (chromosome),37.0,73.33,2.6,,10000000,6.18,0.43
tet(40),AMR_TR-DNA-NOVA1-08-pst_S72,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,66.0,99.59,6.87,Faecalibacterium prausnitzii (chromosome): 1; ,10000000,11.02,1.15
tet(a),AMR_TR-DNA-NOVA1-08-pst_S72,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,22.0,69.41,2.57,Citrobacter freundii (chromosome or plasmid): 1; Klebsiella pneumoniae (chromosome or plasmid): 1; Salmonella enterica (chromosome or plasmid): 1; ,10000000,3.67,0.43
tet(m),AMR_TR-DNA-NOVA1-08-pst_S72,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,98.12,Unknown taxonomy (chromosome or plasmid),233.0,100.0,17.38,Escherichia coli (chromosome or plasmid): 5; Ligilactobacillus animalis (chromosome or plasmid): 1; Escherichia coli (plasmid): 1; ,10000000,38.9,2.9
tet(o),AMR_TR-DNA-NOVA1-08-pst_S72,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,98.12,Unknown taxonomy (chromosome or plasmid),173.0,100.0,12.2,Streptococcus suis (chromosome): 2; Enterococcus hirae (chromosome): 1; Streptococcus suis (chromosome or plasmid): 1; Anaerostipes hadrus (chromosome or plasmid): 1; ,10000000,28.89,2.04
tet(o/32/o),AMR_TR-DNA-NOVA1-08-pst_S72,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,5.0,15.26,0.39,,10000000,0.83,0.07
tet(o/m/o),AMR_TR-DNA-NOVA1-08-pst_S72,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,28.0,30.31,2.19,Streptococcus (chromosome or plasmid): 2; ,10000000,4.68,0.37
tet(o/w),AMR_TR-DNA-NOVA1-08-pst_S72,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,59.0,61.41,4.45,Ruthenibacterium lactatiformans (chromosome): 3; Trueperella pyogenes (chromosome): 1; ,10000000,9.85,0.74
tet(o/w/32/o),AMR_TR-DNA-NOVA1-08-pst_S72,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,88.0,33.96,6.78,Ruthenibacterium lactatiformans (chromosome): 1; ,10000000,14.69,1.13
tet(q),AMR_TR-DNA-NOVA1-08-pst_S72,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.848,96.65,Unknown taxonomy (chromosome),316.0,100.0,22.71,Bacteroides fragilis (chromosome): 3; Phocaeicola dorei (chromosome): 3; Parabacteroides distasonis (chromosome): 1; ,10000000,52.76,3.79
tet(w),AMR_TR-DNA-NOVA1-08-pst_S72,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,99.84,Unknown taxonomy (chromosome),576.0,100.0,41.8,Streptococcus suis (chromosome): 2; Bifidobacterium longum (chromosome): 1; ,10000000,96.18,6.98
tet(w/32/o),AMR_TR-DNA-NOVA1-08-pst_S72,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,10.0,21.3,0.65,Trueperella pyogenes (chromosome): 1; ,10000000,1.67,0.11
tet(w/n/w),AMR_TR-DNA-NOVA1-08-pst_S72,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,73.0,49.84,5.7,Trueperella pyogenes (chromosome): 1; ,10000000,12.19,0.95
tet(x),AMR_TR-DNA-NOVA1-08-pst_S72,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,31.0,87.75,3.09,,10000000,5.18,0.52
teta(60),AMR_TR-DNA-NOVA1-08-pst_S72,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,4.0,15.46,0.34,,10000000,0.67,0.06
tolc,AMR_TR-DNA-NOVA1-08-pst_S72,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,4.0,17.88,0.4,,10000000,0.67,0.07
yoji,AMR_TR-DNA-NOVA1-08-pst_S72,ATP-binding cassette (ABC) antibiotic efflux pump,peptide antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,2.74,0.04,,10000000,0.33,0.01
aad(6),AMR_TR-DNA-NOVA1-08-pre_S71,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,18.05,0.36,,10000000,0.31,0.06
aads,AMR_TR-DNA-NOVA1-08-pre_S71,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,53.82,0.69,,10000000,0.61,0.11
aph(3')-iiia,AMR_TR-DNA-NOVA1-08-pre_S71,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,8.0,85.03,1.47,,10000000,1.23,0.23
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,AMR_TR-DNA-NOVA1-08-pre_S71,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,84.0,38.3,0.75,,10000000,12.87,0.11
cbla-1,AMR_TR-DNA-NOVA1-08-pre_S71,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,2.0,15.6,0.26,,10000000,0.31,0.04
cepa,AMR_TR-DNA-NOVA1-08-pre_S71,CepA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,8.0,35.88,0.92,Bacteroides fragilis (chromosome): 5; ,10000000,1.23,0.14
dfrf,AMR_TR-DNA-NOVA1-08-pre_S71,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,11.0,71.52,2.37,,10000000,1.69,0.36
ered,AMR_TR-DNA-NOVA1-08-pre_S71,macrolide esterase,macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,24.45,0.24,,10000000,0.31,0.04
ermb,AMR_TR-DNA-NOVA1-08-pre_S71,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,2.0,39.09,0.4,,10000000,0.31,0.06
lnuc,AMR_TR-DNA-NOVA1-08-pre_S71,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,14.0,67.07,3.12,,10000000,2.15,0.48
mef(en2),AMR_TR-DNA-NOVA1-08-pre_S71,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,12.0,64.93,1.45,,10000000,1.84,0.22
qacj,AMR_TR-DNA-NOVA1-08-pre_S71,small multidrug resistance (SMR) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Strict,69.4444,45.33,,,,,,10000000,0.0,0.0
sat-4,AMR_TR-DNA-NOVA1-08-pre_S71,streptothricin acetyltransferase (SAT),nucleoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,3.0,50.28,0.54,,10000000,0.46,0.08
tet(32),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,19.0,40.05,1.42,,10000000,2.91,0.22
tet(40),AMR_TR-DNA-NOVA1-08-pre_S71,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,38.0,92.3,3.73,Faecalibacterium prausnitzii (chromosome): 1; ,10000000,5.82,0.57
tet(44),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,2.0,15.6,0.16,,10000000,0.31,0.02
tet(m),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,98.12,Unknown taxonomy (chromosome or plasmid),222.0,100.0,16.69,Escherichia coli (chromosome or plasmid): 6; ,10000000,34.02,2.56
tet(o),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,99.22,Unknown taxonomy (chromosome or plasmid),192.0,100.0,14.21,Anaerostipes hadrus (chromosome): 1; Streptococcus suis (chromosome or plasmid): 9; Enterococcus hirae (chromosome or plasmid): 1; Campylobacter (chromosome): 1; ,10000000,29.42,2.18
tet(o/32/o),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,4.0,26.51,0.31,,10000000,0.61,0.05
tet(o/m/o),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,31.0,30.83,2.38,Streptococcus suis (chromosome or plasmid): 2; ,10000000,4.75,0.36
tet(o/w),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,75.0,71.3,5.75,Ruthenibacterium lactatiformans (chromosome): 11; ,10000000,11.49,0.88
tet(o/w/32/o),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,71.0,36.2,5.52,Ruthenibacterium lactatiformans (chromosome): 1; ,10000000,10.88,0.85
tet(q),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,24.4681,96.27,Unknown taxonomy (chromosome),45.0,89.67,3.03,,10000000,6.9,0.46
tet(w),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,99.37,Unknown taxonomy (chromosome),480.0,100.0,34.58,Bifidobacterium longum (chromosome): 2; ,10000000,73.55,5.3
tet(w/32/o),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,1.0,5.78,0.06,,10000000,0.15,0.01
tet(w/n/w),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,60.0,33.85,4.69,,10000000,9.19,0.72
tet(x1),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline inactivation enzyme,tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,6.76,0.14,Bacteroides fragilis (chromosome): 2; ,10000000,0.31,0.02
tet(x3),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,25.02,0.25,,10000000,0.31,0.04
tet(x4),AMR_TR-DNA-NOVA1-08-pre_S71,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,23.06,0.26,,10000000,0.31,0.04
aads,AMR_TR-DNA-NOVA1-08-6mo_S74,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,11.0,79.98,1.76,,10000000,2.81,0.45
aph(3')-iiia,AMR_TR-DNA-NOVA1-08-6mo_S74,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,7.0,60.13,1.32,,10000000,1.79,0.34
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,AMR_TR-DNA-NOVA1-08-6mo_S74,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,210.0,44.03,2.49,,10000000,53.59,0.64
bifidobacterium bifidum iles conferring resistance to mupirocin,AMR_TR-DNA-NOVA1-08-6mo_S74,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin,antibiotic target alteration,protein homolog,0,,,,,4.0,11.01,0.18,,10000000,1.02,0.05
campylobacter coli chloramphenicol acetyltransferase,AMR_TR-DNA-NOVA1-08-6mo_S74,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,protein homolog,0,,,,,1.0,19.55,0.2,,10000000,0.26,0.05
cbla-1,AMR_TR-DNA-NOVA1-08-6mo_S74,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,13.0,75.31,1.95,,10000000,3.32,0.5
cfxa3,AMR_TR-DNA-NOVA1-08-6mo_S74,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,4.0,24.74,0.49,,10000000,1.02,0.13
cfxa6,AMR_TR-DNA-NOVA1-08-6mo_S74,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,22.0,15.26,0.17,,10000000,5.61,0.04
dfrf,AMR_TR-DNA-NOVA1-08-6mo_S74,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,8.0,83.43,2.21,,10000000,2.04,0.56
ered,AMR_TR-DNA-NOVA1-08-6mo_S74,macrolide esterase,macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,6.0,50.29,0.73,,10000000,1.53,0.19
lnuc,AMR_TR-DNA-NOVA1-08-6mo_S74,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,25.86,0.34,,10000000,0.51,0.09
mef(en2),AMR_TR-DNA-NOVA1-08-6mo_S74,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,17.0,70.73,1.75,,10000000,4.34,0.45
pata,AMR_TR-DNA-NOVA1-08-6mo_S74,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,7.0,16.81,0.11,,10000000,1.79,0.03
qacg,AMR_TR-DNA-NOVA1-08-6mo_S74,small multidrug resistance (SMR) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Strict,97.2222,49.52,,,,,,10000000,0.0,0.0
tet(32),AMR_TR-DNA-NOVA1-08-6mo_S74,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,31.0937,99.5,Unknown taxonomy (chromosome),24.0,46.15,1.54,Bifidobacterium longum (chromosome): 2; Streptococcus suis (chromosome): 1; ,10000000,6.12,0.39
tet(40),AMR_TR-DNA-NOVA1-08-6mo_S74,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,62.0,99.51,6.93,,10000000,15.82,1.77
tet(m),AMR_TR-DNA-NOVA1-08-6mo_S74,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,98.12,Unknown taxonomy (chromosome or plasmid),144.0,100.0,10.81,Escherichia coli (chromosome or plasmid): 5; Streptococcus pneumoniae (chromosome or plasmid): 1; ,10000000,36.75,2.76
tet(o),AMR_TR-DNA-NOVA1-08-6mo_S74,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,98.28,Anaerostipes hadrus (chromosome or plasmid),61.0,97.76,4.63,Anaerostipes hadrus (chromosome): 3; Streptococcus suis (chromosome): 2; ,10000000,15.57,1.18
